"","X","CODE_N","COMMUNE","BVQ_N","POPSDC99","LOG","LOGVAC","STRATLOG","surf_m2","lat_centre","lon_centre"
"286",286,31310,"LUX",31582,171,67,3,1,7665155,43.4310490799877,1.78140459586053
"287",287,31311,"LA MAGDELEIN",31584,609,221,5,2,6863130,43.8133739653144,1.53538566513625
"288",288,31312,"MAILHOLAS",31107,38,16,2,1,3018467,43.2457228277128,1.25045750911349
"289",289,31313,"MALVEZIE",31483,112,97,9,1,8362275,43.0072140417691,0.700089552544812
"290",290,31314,"MANCIOUX",31483,344,193,40,2,7242229,43.166923142211,0.941308950869506
"291",291,31315,"MANE",31523,1026,570,38,3,6491055,43.0804510572956,0.946094797669912
"292",292,31316,"MARIGNAC",31471,505,354,10,3,13321311,42.8946828416391,0.666327079940493
"293",293,31317,"MARIGNAC-LAS",31193,295,124,5,2,10171708,43.3046223023165,1.10604895566269
"294",294,31318,"MARIGNAC-LAS",31135,111,64,0,1,12428322,43.2126817776095,0.961876050773511
"295",295,31319,"MARLIAC",31033,108,49,4,1,7236190,43.2236814689943,1.47323346754717
"296",296,31320,"MARQUEFAVE",31107,850,365,20,3,18738168,43.3096968478179,1.2589348220331
"297",297,31321,"MARSOULAS",31523,137,70,6,1,2470557,43.1067858959914,0.994319322795596
"298",298,31322,"MARTISSERRE",31239,53,37,7,1,6195200,43.3946421975203,0.88522140894277
"299",299,31323,"MARTRES-DE-R",31483,307,136,8,2,3572939,43.0827795159807,0.64466837932098
"300",300,31324,"MARTRES-TOLO",31135,1687,879,105,3,23421774,43.2021493844427,1.0016420601102
"301",301,31325,"MASCARVILLE",31106,139,54,0,1,5342791,43.5583682319233,1.75300737044166
"302",302,31327,"MAURAN",31135,119,77,3,1,5217861,43.1846783634689,1.02278757256912
"303",303,31328,"MAUREMONT",31582,223,89,3,1,5670896,43.4558994572223,1.68091576500919
"304",304,31329,"MAURENS",31582,169,72,6,1,6637899,43.4660603253853,1.79766975105258
"305",305,31330,"MAURESSAC",31033,240,102,5,2,4501638,43.3210335520076,1.43402284054219
"306",306,31331,"MAUREVILLE",31106,266,105,8,2,10096868,43.5295282229194,1.71425762463277
"307",307,31332,"MAUVAISIN",31033,252,91,8,1,11116391,43.3594803893331,1.53837445044052
"308",308,31333,"MAUVEZIN",31239,48,36,6,1,4879450,43.3845844914541,0.920878659156307
"309",309,31334,"MAUZAC",31107,682,275,12,2,9303108,43.3757262633553,1.30248372224167
"310",310,31335,"MAYREGNE",31042,33,56,0,1,5163742,42.848562396333,0.54072901179301
"311",311,31336,"MAZERES-SUR-",31523,584,323,27,3,6708770,43.1329489637497,0.964084503802075
"312",312,31337,"MELLES",31471,104,195,13,2,45899921,42.8672142386444,0.808734640964245
"313",313,31340,"MERVILLA",31113,172,66,3,1,2793762,43.5065715397265,1.47354895769373
"314",314,31341,"MERVILLE",31232,2796,1051,52,4,30696814,43.722103343482,1.295887581007
"315",315,31342,"MILHAS",31020,140,150,10,2,13068572,42.9779007859478,0.827571251707657
"316",316,31343,"MIRAMBEAU",31239,51,30,3,1,4017365,43.4059754040848,0.86371824219559
"317",317,31344,"MIRAMONT-DE-",31483,784,431,54,3,8323267,43.0916982591895,0.755728162724107
"318",318,31345,"MIREMONT",31033,1445,579,30,3,22569542,43.3766003043169,1.41666155847127
"319",319,31346,"MIREPOIX-SUR",31584,537,243,14,2,5522850,43.8243782927716,1.57718687469997
"320",320,31347,"MOLAS",31239,146,72,8,1,10622060,43.4003777122159,0.779056937128007
"321",321,31348,"MONCAUP",31020,26,57,2,1,7180856,42.9725094315461,0.701723144293201
"322",322,31349,"MONDAVEZAN",31135,643,292,14,2,21356778,43.2413553335789,1.04261265243861
"323",323,31350,"MONDILHAN",31080,80,60,5,1,10020452,43.2904510834275,0.70760494116186
"324",324,31351,"MONDONVILLE",31232,1900,708,23,3,11817832,43.6632560699074,1.28093996565002
"325",325,31352,"MONDOUZIL",31044,218,80,0,1,4134718,43.6312779148426,1.56282669112186
"326",326,31353,"MONES",31454,50,21,0,1,2498757,43.4181275055404,1.0320877246105
"327",327,31354,"MONESTROL",31582,55,21,0,1,5187016,43.3321912914375,1.66307291760429
"328",328,31355,"MONS",31044,1085,349,6,3,7337326,43.6109497303244,1.57372196060331
"329",329,31356,"MONTAIGUT-SU",31232,1201,455,18,3,12791349,43.6806109698833,1.23471036469099
"330",330,31357,"MONTASTRUC-D",31523,292,180,14,2,16100271,43.0380034582627,0.901433081295145
"331",331,31358,"MONTASTRUC-L",31358,2495,1003,41,4,15569353,43.7217332852892,1.58931199439181
"332",332,31359,"MONTASTRUC-S",31454,76,27,1,1,5693790,43.3617185882981,1.01844497347095
"333",333,31360,"MONTAUBAN-DE",31042,481,316,10,3,5891540,42.7900915177623,0.6223867174751
"334",334,31361,"MONTAUT",31107,440,183,18,2,17929734,43.3453675727809,1.31003445123674
"335",335,31362,"MONTBERAUD",31135,166,102,17,2,16068289,43.1595103272301,1.15515029762377
"336",336,31363,"MONTBERNARD",31239,214,123,11,2,18285541,43.3041216490594,0.767305888372793
"337",337,31364,"MONTBERON",31555,2342,789,24,3,6453654,43.7201178880333,1.4890774328454
"338",338,31365,"MONTBRUN-BOC",31375,373,262,29,2,30533851,43.1196478550376,1.24925706279394
"339",339,31366,"MONTBRUN-LAU",31381,485,167,5,2,10929004,43.4557385198625,1.52028132065986
"340",340,31367,"MONTCLAR-DE-",31135,69,39,8,1,6453170,43.1711595704293,1.0297745518483
"341",341,31368,"MONTCLAR-LAU",31582,139,51,2,1,3694102,43.3631461220644,1.71333161474972
"342",342,31369,"MONT-DE-GALI",31483,36,29,1,1,2480124,42.9928420911859,0.646534596956407
"343",343,31370,"MONTEGUT-BOU",31193,108,49,5,1,5610666,43.2814958495717,0.984856288523648
"344",344,31371,"MONTEGUT-LAU",31451,360,129,1,2,7748321,43.477775873493,1.93100746653919
"345",345,31372,"MONTESPAN",31483,422,222,21,2,12786267,43.0861641275655,0.860014988304631
"346",346,31373,"MONTESQUIEU-",31239,123,66,6,1,9926401,43.3384325184594,0.767252649775611
"347",347,31374,"MONTESQUIEU-",31582,846,357,19,3,24676157,43.4072480617353,1.62755116076907
"348",348,31375,"MONTESQUIEU-",31375,2314,1361,176,4,59911212,43.1925295985139,1.21794105508791
"349",349,31376,"MONTGAILLARD",31523,105,69,10,1,6277669,43.0590194157786,0.932350463751868
"350",350,31377,"MONTGAILLARD",31582,547,203,11,2,11177237,43.4286038223612,1.70280167657293
"351",351,31378,"MONTGAILLARD",31080,66,32,2,1,4177695,43.2548204396591,0.716831259822225
"352",352,31379,"MONTGAZIN",31107,151,67,10,1,6931825,43.3053861380545,1.30341472241356
"353",353,31380,"MONTGEARD",31582,323,151,4,2,9397568,43.3435151059739,1.64139308600787
"354",354,31381,"MONTGISCARD",31381,1947,739,19,3,13214631,43.4549871537727,1.57028465956927
"355",355,31382,"MONTGRAS",31454,46,29,6,1,4060357,43.4498587915565,1.06752991388011
"356",356,31383,"MONTJOIRE",31358,1018,408,9,3,20377577,43.7782672015255,1.52696063512743
"357",357,31384,"MONTLAUR",31582,889,330,11,3,9705470,43.4846965057227,1.58028612482062
"358",358,31385,"MONTMAURIN",31080,198,121,5,2,8408760,43.2270320635545,0.635927624887102
"359",359,31386,"MONTOULIEU-S",31028,153,73,6,1,4897801,43.2314078498717,0.906402361746035
"360",360,31387,"MONTOUSSIN",31193,90,50,7,1,4886473,43.2799218278445,1.01118009963551
"361",361,31388,"MONTPITOL",31358,332,134,8,2,5957668,43.7043591476091,1.6427512127042
"362",362,31389,"MONTRABE",31561,3201,1105,23,4,5306370,43.64227292472,1.5289300128365
"363",363,31390,"MONTREJEAU",31390,2577,1486,271,4,7939637,43.0880951138545,0.557740255605646
"364",364,31391,"MONTSAUNES",31523,379,180,10,2,9248546,43.109507102713,0.932677110282865
"365",365,31392,"MOURVILLES-B",31106,60,28,3,1,4738677,43.4887074539028,1.69943733178755
"366",366,31393,"MOURVILLES-H",31582,167,65,4,1,6482919,43.4246408939082,1.82026279554225
"367",367,31394,"MOUSTAJON",31042,180,91,2,1,2248154,42.8143561591646,0.591044579303469
"368",368,31396,"NAILLOUX",31582,1237,472,63,3,18678458,43.3650691515744,1.6129693463832
"369",369,31397,"NENIGAN",31080,55,23,2,1,2401645,43.352547808621,0.708981565060693
"370",370,31398,"NIZAN-GESSE",31080,84,52,6,1,8620761,43.2306366802657,0.597092300758327
"371",371,31399,"NOE",31107,2066,856,35,3,9677909,43.3603459228969,1.27047889105324
"372",372,31400,"NOGARET",31451,78,35,0,1,3993141,43.4927692503102,1.93358643043762
"373",373,31401,"NOUEILLES",31582,234,93,8,1,5566308,43.4152295529903,1.52581001587823
"374",374,31402,"ODARS",31582,583,211,10,2,6705201,43.5219583798515,1.59335043636103
"375",375,31403,"ONDES",31232,681,276,13,2,6569357,43.7862616469067,1.30455094741942
"376",376,31404,"OO",31042,108,98,0,1,40724271,42.7414333859236,0.495635889186568
"377",377,31405,"ORE",31483,109,99,1,1,2799303,42.9736843939074,0.64510269058617
"378",378,31406,"PALAMINY",31135,629,314,37,3,11311094,43.1946298196796,1.06043290110348
"379",379,31407,"PAULHAC",31358,916,321,12,3,14057673,43.7538007653019,1.55512832883755
"380",380,31408,"PAYSSOUS",31483,80,59,2,1,4260474,43.0344162751452,0.716882265293334
"381",381,31409,"PECHABOU",31113,1299,453,12,3,3529910,43.5011401784837,1.51009743963186
"382",382,31410,"PECHBONNIEU",31555,2997,1051,25,4,7560649,43.7113410684067,1.45853859417774
"383",383,31411,"PECHBUSQUE",31113,707,252,12,2,3147394,43.525001014341,1.45672267782671
"384",384,31412,"PEGUILHAN",31080,221,93,3,1,18619283,43.3184438515846,0.703455956479861
"385",385,31413,"PELLEPORT",31098,344,159,6,2,10391076,43.741797710553,1.11922982641158
"386",386,31414,"PEYRISSAS",31028,82,42,5,1,7896530,43.2886428274004,0.911677937740218
"387",387,31415,"PEYROUZET",31028,79,35,1,1,4944798,43.2078104503589,0.831779106377935
"388",388,31416,"PEYSSIES",31107,364,154,5,2,6389266,43.3256130339782,1.18473036506042
"389",389,31417,"PIBRAC",31232,7440,2485,79,4,26015783,43.6277237455681,1.26126428292855
"390",390,31418,"PIN-BALMA",31044,655,225,9,2,6636146,43.6223466789007,1.53576161922213
"391",391,31419,"LE PIN-MUREL",31454,151,73,4,1,11996476,43.3971152815481,1.02096143810761
"392",392,31420,"PINSAGUEL",31395,2466,1008,41,4,5162545,43.5029270368604,1.39406474829437
"393",393,31421,"PINS-JUSTARE",31395,3915,1401,88,4,4489039,43.4822258281411,1.39100385059729
"394",394,31422,"PLAGNE",31135,88,45,1,1,4134115,43.1607767091721,1.05895405144935
"395",395,31423,"PLAGNOLE",31454,271,100,7,2,7404460,43.4117089274,1.06395196842245
"396",396,31425,"LE PLAN",31135,315,210,8,2,8130852,43.1668605184311,1.12224040165683
"397",397,31426,"POINTIS-DE-R",31483,792,304,21,3,6752077,43.0909268321445,0.625660937198079
"398",398,31427,"POINTIS-INAR",31483,740,368,12,3,15016427,43.0837401765801,0.797335870951141
"399",399,31428,"POLASTRON",31193,64,25,0,1,4859451,43.3197760255691,0.951871412579654
"400",400,31429,"POMPERTUZAT",31113,1208,431,21,3,5482296,43.4943749935579,1.52198342699652
"401",401,31430,"PONLAT-TAILL",31390,457,203,10,2,8480024,43.1120573225121,0.59640632734197
"402",402,31432,"PORTET-DE-LU",31042,32,31,1,1,4120625,42.811494878489,0.470960020295452
"403",403,31433,"PORTET-SUR-G",31395,8733,3473,149,4,15463050,43.5289767683154,1.40190314406747
"404",404,31434,"POUBEAU",31042,53,73,1,1,4233684,42.8275215865491,0.492330655217868
"405",405,31435,"POUCHARRAMET",31454,680,288,9,2,22615899,43.4233014616754,1.1666815691717
"406",406,31436,"POUY-DE-TOUG",31193,226,114,1,2,13885330,43.3363869361133,1.0488102367058
"407",407,31437,"POUZE",31381,89,37,5,1,3862057,43.4339499929021,1.53427406282974
"408",408,31439,"PRESERVILLE",31106,359,142,4,2,12212001,43.5202121468079,1.63161357641275
"409",409,31440,"PROUPIARY",31483,56,31,6,1,4980552,43.1582253317094,0.868138380546757
"410",410,31441,"PRUNET",31106,134,53,0,1,4704381,43.572452568344,1.72929141458354
"411",411,31442,"PUYDANIEL",31033,318,139,17,2,7586211,43.3316054369917,1.42270987384132
"412",412,31443,"PUYMAURIN",31239,297,175,26,2,22782346,43.3699379436401,0.752659619674071
"413",413,31444,"PUYSSEGUR",31098,70,42,1,1,5455397,43.7521576486346,1.06630358272942
"414",414,31445,"QUINT-FONSEG",31044,4478,1763,59,4,7461859,43.5813036006476,1.54294266004117
"415",415,31447,"RAZECUEILLE",31020,37,89,6,1,6563972,42.9635407918518,0.814567670833658
"416",416,31448,"REBIGUE",31113,444,154,3,2,5146395,43.4898492981283,1.47754915129234
"417",417,31449,"REGADES",31483,112,78,13,1,3686236,43.0531063051878,0.718372678758397
"418",418,31450,"RENNEVILLE",31582,334,141,15,2,8405733,43.3787369624822,1.72221039976064
"419",419,31451,"REVEL",31451,7985,3894,226,4,35642497,43.4654247028215,1.99671156275087
"420",420,31452,"RIEUCAZE",31483,37,32,4,1,2093416,43.0759620465815,0.752349412794519
"421",421,31453,"RIEUMAJOU",31582,87,42,8,1,3765462,43.4122935356834,1.80227962633037
"422",422,31454,"RIEUMES",31454,2601,1225,117,4,30919557,43.4116440181936,1.11492838616352
"423",423,31455,"RIEUX",31107,1899,949,77,3,32641426,43.2555246736277,1.20667782492697
"424",424,31456,"RIOLAS",31239,42,27,3,1,2869413,43.3507903835588,0.918384057390691
"425",425,31457,"ROQUEFORT-SU",31523,715,405,46,3,13572501,43.1601285753484,0.986750354744674
"426",426,31458,"ROQUES",31395,2988,1076,24,4,9367444,43.5072292622494,1.35432176996359
"427",427,31459,"ROQUESERIERE",31358,615,248,13,2,10692528,43.7337271943191,1.63706761639731
"428",428,31460,"ROQUETTES",31395,3285,1170,22,4,3351655,43.4944538581533,1.37449891726679
"429",429,31461,"ROUEDE",31523,236,144,20,2,6288121,43.0564593672373,0.883273522143475
"430",430,31462,"ROUFFIAC-TOL",31561,1404,496,29,3,4760825,43.6638556836902,1.52601771489616
"431",431,31463,"ROUMENS",31451,202,76,7,1,3582413,43.4645463528738,1.93604361832074
"432",432,31464,"SABONNERES",31454,218,98,1,1,12576908,43.4688000937483,1.05696306452257
"433",433,31465,"SACCOURVIELL",31042,14,28,0,1,3284117,42.8181379394597,0.568918119767459
"434",434,31466,"SAIGUEDE",31499,524,212,12,2,11953747,43.5235631959072,1.14171487617881
"435",435,31467,"SAINT-ALBAN",31555,5186,1840,59,4,4428264,43.6927385168372,1.41250009032988
"436",436,31468,"SAINT-ANDRE",31028,180,103,6,2,18759301,43.2741131984924,0.847491551237324
"437",437,31469,"SAINT-ARAILL",31193,125,51,1,1,6625843,43.3525795632252,1.00301302367532
"438",438,31470,"SAINT-AVENTI",31042,95,461,10,3,18108812,42.7578071306916,0.577336601047788
"439",439,31471,"SAINT-BEAT",31471,364,453,55,3,7115879,42.9053426709397,0.685288244668109
"440",440,31472,"SAINT-BERTRA",31390,237,165,16,2,11263771,43.0239311244173,0.552208531550434
"441",441,31473,"SAINT-CEZERT",31232,413,118,10,2,9009014,43.7815927958444,1.19168016503812
"442",442,31474,"SAINT-CHRIST",31135,229,99,6,1,10864717,43.1926520386017,1.12815960715388
"443",443,31475,"SAINT-CLAR-D",31395,872,352,16,3,10031922,43.4758918822788,1.20868604320932
"444",444,31476,"SAINT-ELIX-L",31107,542,247,18,2,10673337,43.2820744339314,1.13764095142351
"445",445,31477,"SAINT-ELIX-S",31028,47,29,7,1,3009461,43.196061681487,0.849531577642708
"446",446,31478,"SAINT-FELIX-",31451,1301,586,59,3,52187097,43.4507004144871,1.90157330291125
"447",447,31479,"SAINT-FERREO",31080,53,31,7,1,5693212,43.3381475978709,0.736572252243944
"448",448,31480,"SAINTE-FOY-D",31106,1631,510,10,3,9872632,43.5506998976756,1.60341495269272
"449",449,31481,"SAINTE-FOY-D",31499,1436,560,35,3,37949978,43.4809777606354,1.13700130516901
"450",450,31482,"SAINT-FRAJOU",31239,173,111,10,2,16976891,43.3309897281317,0.850661605287118
"451",451,31484,"SAINT-GENIES",31561,1781,667,19,3,3800148,43.6848482450554,1.48031083646653
"452",452,31485,"SAINT-GERMIE",31582,86,37,1,1,3758297,43.4683211134416,1.72613154080562
"453",453,31486,"SAINT-HILAIR",31395,708,257,7,2,6385275,43.4211804631444,1.26861165572614
"454",454,31487,"SAINT-IGNAN",31483,250,86,1,1,5511999,43.156396205953,0.691181655086682
"455",455,31488,"SAINT-JEAN",31561,8362,3288,69,4,6031873,43.6629600678238,1.50127925149426
"456",456,31489,"SAINT-JEAN-L",31358,303,108,1,2,8008092,43.6981658474694,1.61734442444243
"457",457,31490,"SAINT-JORY",31555,4069,1490,67,4,19322053,43.7392179538388,1.35673737428075
"458",458,31491,"SAINT-JULIA",31451,333,196,29,2,11549814,43.4937305854849,1.89373115231368
"459",459,31492,"SAINT-JULIEN",31135,342,180,21,2,8165323,43.249288490886,1.14667867446259
"460",460,31493,"SAINT-LARY-B",31483,116,55,5,1,8393277,43.2219276925071,0.739700235060216
"461",461,31494,"SAINT-LAUREN",31239,157,118,7,2,8568025,43.3257782271107,0.800186210847208
"462",462,31495,"SAINT-LEON",31582,750,305,31,3,24322807,43.3968172134983,1.56304384029684
"463",463,31497,"SAINT-LOUP-C",31561,1742,595,28,3,3714587,43.6977200255606,1.4799904070102
"464",464,31498,"SAINT-LOUP-E",31080,40,31,1,1,4753154,43.2419611757659,0.574871061736971
"465",465,31499,"SAINT-LYS",31499,5455,1978,99,4,21496679,43.5102256397066,1.19882281469147
"466",466,31500,"SAINT-MAMET",31042,499,601,59,3,11212363,42.7713906028415,0.630771254467829
"467",467,31501,"SAINT-MARCEL",31573,401,155,7,2,7157766,43.6570036694764,1.6140796974113
"468",468,31502,"SAINT-MARCET",31483,393,167,8,2,14443699,43.19714271515,0.745572198287785
"469",469,31503,"SAINT-MARTOR",31523,873,440,55,3,8225109,43.1433173237095,0.93677088436442
"470",470,31504,"SAINT-MEDARD",31483,235,98,2,1,5271838,43.1285749711528,0.829233201318894
"471",471,31505,"SAINT-MICHEL",31135,232,148,20,2,15586705,43.1600706832653,1.08613667537665
"472",472,31507,"SAINT-PAUL-S",31232,659,270,24,2,5172809,43.6992357343294,1.22043823746557
"473",473,31508,"SAINT-PAUL-D",31042,49,68,2,1,7521629,42.8383305037523,0.556070569698434
"474",474,31509,"SAINT-PE-D'A",31483,114,146,8,2,3477792,42.9858294580844,0.679832586108405
"475",475,31510,"SAINT-PE-DEL",31080,121,53,4,1,5502907,43.2677348813301,0.693783959508966
"476",476,31511,"SAINT-PIERRE",31573,209,84,9,1,4777040,43.6369477495295,1.64134756754278
"477",477,31512,"SAINT-PIERRE",31106,377,154,12,2,7252038,43.5682668089489,1.62733075672625
"478",478,31513,"SAINT-PLANCA",31483,372,213,14,2,15899748,43.1682255898125,0.570773137626781
"479",479,31514,"SAINT-ROME",31582,68,29,2,1,3673438,43.4148102628544,1.674624833729
"480",480,31515,"SAINT-RUSTIC",31232,425,169,6,2,2370859,43.803020630272,1.32774851105741
"481",481,31516,"SAINT-SAUVEU",31555,1309,511,14,3,7061629,43.7510449892534,1.39603699036152
"482",482,31517,"SAINT-SULPIC",31107,1639,750,46,3,13981287,43.3245638923675,1.34089281409303
"483",483,31518,"SAINT-THOMAS",31499,472,201,18,2,14187560,43.5148225658476,1.08850492604552
"484",484,31519,"SAINT-VINCEN",31582,99,36,3,1,3106655,43.4401125556255,1.75824088524802
"485",485,31520,"SAJAS",31454,82,48,4,1,4926676,43.375205725802,1.02531461114541
"486",486,31521,"SALEICH",31523,361,197,27,2,14209149,43.0278885148406,0.967830555171256
"487",487,31522,"SALERM",31239,55,41,2,1,5834855,43.3067219481287,0.824566896934387
"488",488,31523,"SALIES-DU-SA",31523,1943,1164,99,4,6781061,43.1014687668621,0.962904622559537
"489",489,31524,"SALLES-ET-PR",31042,119,84,6,1,2107519,42.8339698519564,0.606774598469022
"490",490,31525,"SALLES-SUR-G",31107,301,135,5,2,5741477,43.2761010371021,1.17187178775626
"491",491,31526,"LA SALVETAT-",31499,5779,1920,32,4,5767365,43.5754724144463,1.26622968689643
"492",492,31527,"LA SALVETAT-",31106,97,42,2,1,3710161,43.5470312488201,1.80040132993907
"493",493,31528,"SAMAN",31080,142,58,7,1,5573638,43.2393586907166,0.722187469889033
"494",494,31529,"SAMOUILLAN",31028,108,56,3,1,5493080,43.2667684516192,0.949523498421451
"495",495,31530,"SANA",31135,175,65,2,1,2728874,43.2279061838773,1.01072296916854
"496",496,31531,"SARRECAVE",31080,61,43,8,1,2444926,43.215217769728,0.595214668551685
"497",497,31532,"SARREMEZAN",31080,69,34,6,1,4267547,43.2117390000216,0.662233795841365
"498",498,31533,"SAUBENS",31395,1299,512,21,3,6063347,43.4793441879958,1.35927142715724
"499",499,31534,"SAUSSENS",31106,144,59,9,1,3064240,43.590191717432,1.72435407064618
"500",500,31535,"SAUVETERRE-D",31483,720,434,42,3,30158773,43.0334581247405,0.672818286611666
